City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
384,Noumea,NC,77.0,light rain,-22.2763,166.4572,Lamana Hotel (Port Moresby)
385,Linfen,CN,87.96,clear sky,36.0889,111.5189,Hôtel Le Lagon
387,Champerico,GT,80.35,overcast clouds,14.3,-91.9167,Suoxing Hotel
392,Kawalu,ID,77.47,broken clouds,-7.3817,108.2082,"Hotel y restaurante ""El Diamante"""
393,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,KOSAN UNGU UNSIK
394,Pacific Grove,US,84.15,scattered clouds,36.6177,-121.9166,Atlantis Hotel
397,Carutapera,BR,75.47,scattered clouds,-1.195,-46.02,Lovers Point Inn
399,Nawa,IN,81.25,overcast clouds,27.0167,75.0,Lidera
401,Mahoba,IN,78.37,overcast clouds,25.2833,79.8667,"Sambharia Bhawan,Kuchaman Road,Nawa City"
402,Komsomolskiy,UZ,79.52,overcast clouds,40.4272,71.7189,"Hotel, Restaurant and Guest House"
403,Kerema,PG,84.49,overcast clouds,-7.9631,145.7785,Ikathouse
406,Nandura,IN,78.03,overcast clouds,20.8333,76.45,Frena Lodge
407,Tateyama,JP,84.97,broken clouds,34.9833,139.8667,Deepika Infratech Pvt Ltd
408,Pouembout,NC,77.0,few clouds,-21.1333,164.9,Tateyama Seaside Hotel
410,Tual,ID,80.94,broken clouds,-5.6667,132.75,Camping de Tipenga
415,Guiyang,CN,82.89,few clouds,26.5833,106.7167,Grand Vilia Hotel
416,Isangel,VU,75.92,scattered clouds,-19.55,169.2667,Guo Tai Hotel Guiyang
417,Bonnyville,CA,78.12,clear sky,54.2668,-110.735,Tanna Lodge
419,Gwadar,PK,82.04,overcast clouds,25.1216,62.3254,Best Western Bonnyville Inn & Suites
420,Buala,SB,85.17,clear sky,-8.145,159.5921,Sadaf Resort
421,Wucheng,CN,89.2,few clouds,29.6008,118.175,Maringe Lagoon Lodge
424,Erenhot,CN,80.71,clear sky,43.6475,111.9767,Xiuwu Restaurant
429,Hambantota,LK,81.46,scattered clouds,6.1241,81.1185,Erenhot Rurouni Youth Hostel
435,Maunabo,PR,82.24,overcast clouds,18.0072,-65.8993,Bungalow 63
439,Shancheng,CN,78.69,clear sky,34.7953,116.0817,Maunacaribe
440,Lang Son,VN,85.14,overcast clouds,21.8333,106.7333,Shanxian Golden Dragon Hotel
442,La Ronge,CA,75.42,broken clouds,55.1001,-105.2842,Khai Nga Hotel
443,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,Northland Motor Hotel
444,Kashi,CN,81.61,few clouds,39.4547,75.9797,Hotel Plaza Providencia
450,Celestun,MX,83.05,few clouds,20.8667,-90.4,帕米尔青年旅舍
452,Moose Jaw,CA,80.26,clear sky,50.4001,-105.5344,Posada Lilia
