City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
160,Sitka,57.0531,-135.33,69.69,64,20,3.44,US,2021-07-30 02:19:38,few clouds
161,Gornopravdinsk,60.05,69.9,47.71,91,63,6.44,RU,2021-07-30 02:24:48,broken clouds
162,Chokurdakh,70.6333,147.9167,51.49,43,83,4.72,RU,2021-07-30 02:18:53,broken clouds
163,Airai,-8.9266,125.4092,75.51,32,5,3.85,TL,2021-07-30 02:18:43,clear sky
164,Trairi,-3.2778,-39.2689,77.59,87,10,7.65,BR,2021-07-30 02:15:29,clear sky
165,Miri,4.4148,114.0089,86.14,66,40,10.36,MY,2021-07-30 02:24:49,scattered clouds
166,Bambous Virieux,-20.3428,57.7575,70.21,88,75,14.97,MU,2021-07-30 02:19:19,light rain
167,Verkhoyansk,67.5447,133.385,67.03,32,18,0.31,RU,2021-07-30 02:21:12,few clouds
168,Half Moon Bay,37.4636,-122.4286,89.62,75,75,9.22,US,2021-07-30 02:17:39,broken clouds
169,Bethel,41.3712,-73.414,72.18,92,75,5.75,US,2021-07-30 02:18:40,broken clouds
170,Qaqortoq,60.7167,-46.0333,46.9,91,100,2.35,GL,2021-07-30 02:14:52,overcast clouds
171,Tabuk,17.4189,121.4443,81.63,78,100,1.86,PH,2021-07-30 02:24:50,overcast clouds
172,Fengxian,34.7039,116.5872,78.67,78,3,8.34,CN,2021-07-30 02:24:50,clear sky
173,Moose Factory,51.2585,-80.6094,53.6,82,90,5.75,CA,2021-07-30 02:21:06,overcast clouds
174,Antsohihy,-14.8796,47.9875,65.61,80,0,5.44,MG,2021-07-30 02:21:48,clear sky
175,Whitianga,-36.8333,175.7,64.02,77,54,5.32,NZ,2021-07-30 02:24:51,broken clouds
176,Kovernino,57.1253,43.8142,60.33,97,68,5.57,RU,2021-07-30 02:24:51,broken clouds
177,Hithadhoo,-0.6,73.0833,82.36,70,99,2.86,MV,2021-07-30 02:18:45,overcast clouds
178,Waingapu,-9.6567,120.2641,84.38,56,16,12.71,ID,2021-07-30 02:24:51,few clouds
179,Eckernforde,54.4667,9.8333,63.18,89,70,17.9,DE,2021-07-30 02:24:52,broken clouds
180,Mogadishu,2.0371,45.3438,75.9,79,86,19.55,SO,2021-07-30 02:20:01,light rain
181,Parabel,58.6978,81.4825,58.24,68,20,6.58,RU,2021-07-30 02:24:52,few clouds
182,Olga,43.7444,135.2892,81.61,67,100,5.3,RU,2021-07-30 02:24:45,overcast clouds
183,Leshukonskoye,64.8989,45.7622,47.55,82,99,4.0,RU,2021-07-30 02:24:53,overcast clouds
184,Sungaipenuh,-2.0833,101.3833,72.27,73,100,1.68,ID,2021-07-30 02:24:53,overcast clouds
185,Thunder Bay,48.4001,-89.3168,62.58,55,20,8.05,CA,2021-07-30 02:23:27,few clouds
186,Paoua,7.2427,16.4406,67.5,95,47,2.64,CF,2021-07-30 02:24:53,scattered clouds
187,Eyl,7.9803,49.8164,77.65,70,100,18.48,SO,2021-07-30 02:24:54,overcast clouds
188,Tiznit,29.5833,-9.5,86.07,32,57,13.53,MA,2021-07-30 02:24:26,broken clouds
189,Kabarnet,0.4919,35.743,56.21,94,95,2.8,KE,2021-07-30 02:24:54,overcast clouds
190,Ballina,-28.8667,153.5667,66.38,42,0,6.91,AU,2021-07-30 02:24:55,clear sky
191,San Patricio,28.017,-97.5169,84.83,69,100,9.26,US,2021-07-30 02:20:49,overcast clouds
192,Inhambane,-23.865,35.3833,64.06,75,0,6.8,MZ,2021-07-30 02:20:32,clear sky
193,Milkovo,54.7167,158.6167,75.0,65,93,0.43,RU,2021-07-30 02:24:55,light rain
194,Muros,42.7762,-9.0603,64.99,86,71,5.19,ES,2021-07-30 02:24:56,broken clouds
195,Chara,56.9064,118.2631,66.97,51,39,9.24,RU,2021-07-30 02:20:26,scattered clouds
196,Vila,42.0304,-8.1588,54.73,89,0,2.28,PT,2021-07-30 02:24:56,clear sky
197,Bardiyah,31.7561,25.0865,78.1,77,0,13.27,LY,2021-07-30 02:24:57,clear sky
198,Nouadhibou,20.931,-17.0347,67.98,94,75,12.66,MR,2021-07-30 02:19:22,broken clouds
199,Cabatuan,10.8794,122.486,87.03,65,62,11.3,PH,2021-07-30 02:24:57,broken clouds
200,Paharpur,32.1038,70.9724,91.45,61,65,3.15,PK,2021-07-30 02:24:57,broken clouds
201,Pamanukan,-6.2842,107.8106,84.07,58,6,2.59,ID,2021-07-30 02:24:58,clear sky
202,Smithers,54.7804,-127.1743,77.32,41,20,3.44,CA,2021-07-30 02:24:58,few clouds
203,Bandarbeyla,9.4942,50.8122,77.09,75,100,27.72,SO,2021-07-30 02:24:58,overcast clouds
204,Sibolga,1.7427,98.7792,81.36,71,100,0.4,ID,2021-07-30 02:24:59,moderate rain
205,Zhigalovo,54.8097,105.1578,60.94,94,100,3.29,RU,2021-07-30 02:24:59,overcast clouds
206,Filotion,37.05,25.5,76.89,67,0,4.0,GR,2021-07-30 02:24:59,clear sky
207,Victoria Point,-27.5833,153.3,73.15,52,0,4.0,AU,2021-07-30 02:25:00,clear sky
208,Saint-Augustin,51.226,-58.6502,53.47,74,35,7.23,CA,2021-07-30 02:22:09,scattered clouds
209,Norman Wells,65.282,-126.8329,68.04,64,75,3.44,CA,2021-07-30 02:18:45,broken clouds
210,Pisco,-13.7,-76.2167,62.65,82,90,4.61,PE,2021-07-30 02:21:52,overcast clouds
211,Omsukchan,62.5333,155.8,36.9,90,100,10.27,RU,2021-07-30 02:25:01,light rain
212,Copala,16.65,-98.9833,78.58,86,100,1.5,MX,2021-07-30 02:25:01,overcast clouds
213,Dickinson,29.4608,-95.0513,88.16,77,40,3.44,US,2021-07-30 02:25:01,scattered clouds
214,Pevek,69.7008,170.3133,32.04,98,100,25.81,RU,2021-07-30 02:19:32,light snow
215,Huntingdon,52.3305,-0.1865,58.96,89,100,7.47,GB,2021-07-30 02:25:02,moderate rain
216,Jodhpur,26.2867,73.03,80.98,79,92,16.37,IN,2021-07-30 02:25:04,overcast clouds
217,Rairangpur,22.2676,86.1751,75.31,94,100,16.98,IN,2021-07-30 02:25:04,moderate rain
218,Mehamn,71.0357,27.8492,43.95,83,100,4.09,NO,2021-07-30 02:18:46,overcast clouds
219,Daru,-9.0763,143.2092,80.15,86,100,11.59,PG,2021-07-30 02:19:09,overcast clouds
220,Novyy Oskol,50.7631,37.8691,65.21,93,32,5.88,RU,2021-07-30 02:25:05,scattered clouds
221,Ornskoldsvik,63.2909,18.7153,60.62,100,75,6.91,SE,2021-07-30 02:25:05,heavy intensity rain
222,Ngunguru,-35.6167,174.5,64.17,77,100,14.72,NZ,2021-07-30 02:19:08,overcast clouds
223,Shitanjing,39.2342,106.3439,86.14,16,0,2.01,CN,2021-07-30 02:24:56,clear sky
224,Barra Patuca,15.8,-84.2833,79.2,85,31,7.16,HN,2021-07-30 02:25:06,scattered clouds
225,Miass,55.045,60.1083,57.34,61,97,4.09,RU,2021-07-30 02:25:06,overcast clouds
226,Elblag,54.1522,19.4088,59.97,79,7,7.05,PL,2021-07-30 02:25:06,clear sky
227,Jizan,17.3333,42.6667,88.74,55,84,5.77,SA,2021-07-30 02:21:47,broken clouds
228,Vytegra,61.0064,36.4481,59.18,94,53,8.14,RU,2021-07-30 02:25:07,broken clouds
229,Katobu,-4.9408,122.5276,84.85,60,47,7.54,ID,2021-07-30 02:25:07,scattered clouds
230,Naberera,-4.2,36.9333,54.7,89,93,8.41,TZ,2021-07-30 02:25:07,overcast clouds
231,Yulara,-25.2406,130.9889,75.04,29,0,10.36,AU,2021-07-30 02:14:39,clear sky
232,Vetlanda,57.4289,15.0776,55.62,95,89,11.1,SE,2021-07-30 02:25:08,overcast clouds
233,Svetlyy,54.675,20.1347,60.85,74,1,11.01,RU,2021-07-30 02:25:08,clear sky
234,Lufilufi,-13.8745,-171.5986,89.38,78,54,19.51,WS,2021-07-30 02:25:09,light rain
235,Lata,40.1629,-8.3327,61.92,99,39,1.83,PT,2021-07-30 02:19:39,scattered clouds
236,Severo-Kurilsk,50.6789,156.125,62.35,87,93,4.05,RU,2021-07-30 02:19:11,overcast clouds
237,Yurimaguas,-5.9,-76.0833,65.37,79,48,3.24,PE,2021-07-30 02:25:09,scattered clouds
238,Huarmey,-10.0681,-78.1522,64.81,86,55,8.34,PE,2021-07-30 02:25:10,broken clouds
239,Registro,-24.4875,-47.8436,40.44,83,5,0.96,BR,2021-07-30 02:25:10,clear sky
240,Chalus,36.655,51.4204,69.26,94,90,0.0,IR,2021-07-30 02:25:10,overcast clouds
241,Portland,45.5234,-122.6762,97.38,28,20,1.99,US,2021-07-30 02:17:48,few clouds
242,Korem,12.5058,39.5228,59.07,83,100,3.0,ET,2021-07-30 02:25:11,moderate rain
243,Fort Saint James,54.4333,-124.25,76.44,41,83,2.95,CA,2021-07-30 02:25:11,broken clouds
244,Veraval,20.9,70.3667,82.08,84,100,20.89,IN,2021-07-30 02:25:11,overcast clouds
245,Zaraza,9.3503,-65.3245,72.79,93,98,3.15,VE,2021-07-30 02:25:12,overcast clouds
246,Haines Junction,60.7522,-137.5108,67.95,42,38,9.22,CA,2021-07-30 02:21:50,scattered clouds
247,Taitung,22.7583,121.1444,91.67,62,75,4.61,TW,2021-07-30 02:25:12,broken clouds
248,Chunhuhub,19.55,-88.6833,80.49,71,12,5.44,MX,2021-07-30 02:25:13,few clouds
249,Tura,25.5198,90.2201,75.06,91,100,5.97,IN,2021-07-30 02:21:32,overcast clouds
250,Charagua,-19.8,-63.2167,45.55,39,96,0.72,BO,2021-07-30 02:25:13,overcast clouds
251,Krasnoselkup,65.7,82.4667,57.42,66,27,12.37,RU,2021-07-30 02:22:59,scattered clouds
252,Chuy,-33.6971,-53.4616,40.93,86,9,5.68,UY,2021-07-30 02:18:31,clear sky
253,Chik,54.9928,82.4311,63.18,88,20,4.47,RU,2021-07-30 02:25:14,few clouds
254,Barrow,71.2906,-156.7887,51.82,87,90,5.75,US,2021-07-30 02:18:35,light rain
255,Lagoa,39.05,-27.9833,69.64,90,0,8.1,PT,2021-07-30 02:18:58,clear sky
256,Flinders,-34.5833,150.8552,67.05,41,0,1.99,AU,2021-07-30 02:25:14,clear sky
257,Muramatsu,37.6833,139.1833,90.46,57,7,4.23,JP,2021-07-30 02:25:15,clear sky
258,Chapais,49.7834,-74.8492,53.38,96,100,9.93,CA,2021-07-30 02:17:45,overcast clouds
259,Neiafu,-18.65,-173.9833,81.28,69,75,9.22,TO,2021-07-30 02:21:40,broken clouds
260,Mizdah,31.4451,12.9801,71.65,44,0,1.21,LY,2021-07-30 02:25:15,clear sky
